 TITLE="boundary"
 VARIABLES="X", "Y"
 ZONE T="boundary"
 I=296, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 -0.7600000000E+02 -0.3850000000E+02
 -0.7448484848E+02 -0.3850000000E+02
 -0.7296969697E+02 -0.3850000000E+02
 -0.7145454545E+02 -0.3850000000E+02
 -0.6993939394E+02 -0.3849999999E+02
 -0.6842424242E+02 -0.3849999997E+02
 -0.6690909091E+02 -0.3849999994E+02
 -0.6539393939E+02 -0.3849999985E+02
 -0.6387878788E+02 -0.3849999965E+02
 -0.6236363636E+02 -0.3849999919E+02
 -0.6084848485E+02 -0.3849999817E+02
 -0.5933333333E+02 -0.3849999594E+02
 -0.5781818182E+02 -0.3849999119E+02
 -0.5630303030E+02 -0.3849998126E+02
 -0.5478787879E+02 -0.3849996094E+02
 -0.5327272727E+02 -0.3849992021E+02
 -0.5175757576E+02 -0.3849984032E+02
 -0.5024242424E+02 -0.3849968688E+02
 -0.4872727273E+02 -0.3849939840E+02
 -0.4721212121E+02 -0.3849886750E+02
 -0.4569696970E+02 -0.3849791116E+02
 -0.4418181818E+02 -0.3849622506E+02
 -0.4266666667E+02 -0.3849331574E+02
 -0.4115151515E+02 -0.3848840330E+02
 -0.3963636364E+02 -0.3848028700E+02
 -0.3812121212E+02 -0.3846716712E+02
 -0.3660606061E+02 -0.3844641997E+02
 -0.3509090909E+02 -0.3841432884E+02
 -0.3357575758E+02 -0.3836578406E+02
 -0.3206060606E+02 -0.3829397908E+02
 -0.3054545455E+02 -0.3819014659E+02
 -0.2903030303E+02 -0.3804339674E+02
 -0.2751515152E+02 -0.3784073583E+02
 -0.2600000000E+02 -0.3756735214E+02
 -0.2448484848E+02 -0.3720725260E+02
 -0.2296969697E+02 -0.3674431177E+02
 -0.2145454545E+02 -0.3616375236E+02
 -0.1993939394E+02 -0.3545401259E+02
 -0.1842424242E+02 -0.3460887587E+02
 -0.1690909091E+02 -0.3362965398E+02
 -0.1539393939E+02 -0.3252714047E+02
 -0.1387878788E+02 -0.3132300677E+02
 -0.1236363636E+02 -0.3005031492E+02
 -0.1084848485E+02 -0.2875288114E+02
 -0.9333333333E+01 -0.2748334492E+02
 -0.7818181818E+01 -0.2629996731E+02
 -0.6303030303E+01 -0.2526237763E+02
 -0.4787878788E+01 -0.2442667449E+02
 -0.3272727273E+01 -0.2384043007E+02
 -0.1757575758E+01 -0.2353821265E+02
 -0.2424242424E+00 -0.2353821265E+02
  0.1272727273E+01 -0.2384043007E+02
  0.2787878788E+01 -0.2442667449E+02
  0.4303030303E+01 -0.2526237763E+02
  0.5818181818E+01 -0.2629996731E+02
  0.7333333333E+01 -0.2748334492E+02
  0.8848484848E+01 -0.2875288114E+02
  0.1036363636E+02 -0.3005031492E+02
  0.1187878788E+02 -0.3132300677E+02
  0.1339393939E+02 -0.3252714047E+02
  0.1490909091E+02 -0.3362965398E+02
  0.1642424242E+02 -0.3460887587E+02
  0.1793939394E+02 -0.3545401259E+02
  0.1945454545E+02 -0.3616375236E+02
  0.2096969697E+02 -0.3674431177E+02
  0.2248484848E+02 -0.3720725260E+02
  0.2400000000E+02 -0.3756735214E+02
  0.2551515152E+02 -0.3784073583E+02
  0.2703030303E+02 -0.3804339674E+02
  0.2854545455E+02 -0.3819014659E+02
  0.3006060606E+02 -0.3829397908E+02
  0.3157575758E+02 -0.3836578406E+02
  0.3309090909E+02 -0.3841432884E+02
  0.3460606061E+02 -0.3844641997E+02
  0.3612121212E+02 -0.3846716712E+02
  0.3763636364E+02 -0.3848028700E+02
  0.3915151515E+02 -0.3848840330E+02
  0.4066666667E+02 -0.3849331574E+02
  0.4218181818E+02 -0.3849622506E+02
  0.4369696970E+02 -0.3849791116E+02
  0.4521212121E+02 -0.3849886750E+02
  0.4672727273E+02 -0.3849939840E+02
  0.4824242424E+02 -0.3849968688E+02
  0.4975757576E+02 -0.3849984032E+02
  0.5127272727E+02 -0.3849992021E+02
  0.5278787879E+02 -0.3849996094E+02
  0.5430303030E+02 -0.3849998126E+02
  0.5581818182E+02 -0.3849999119E+02
  0.5733333333E+02 -0.3849999594E+02
  0.5884848485E+02 -0.3849999817E+02
  0.6036363636E+02 -0.3849999919E+02
  0.6187878788E+02 -0.3849999965E+02
  0.6339393939E+02 -0.3849999985E+02
  0.6490909091E+02 -0.3849999994E+02
  0.6642424242E+02 -0.3849999997E+02
  0.6793939394E+02 -0.3849999999E+02
  0.6945454545E+02 -0.3850000000E+02
  0.7096969697E+02 -0.3850000000E+02
  0.7248484848E+02 -0.3850000000E+02
  0.7400000000E+02 -0.3850000000E+02
  0.7400000000E+02  0.3650000000E+02
  0.7248484848E+02  0.3650000000E+02
